Subject,Start_date,Start_time,End_time,Location,Description
Fahrradkinokombinat Muhaha im FKK,2024-11-27,20:00,,"Alte Mu (Fahrradkinokombinat), Kiel","comedy
tags comedy
Location Link: http://www.altemu.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37956710&date=2024-11-27"
Hansen oder die Sache mit dem Pinguin,2024-11-27,09:00,,"Niederdeutsche Bühne, Kiel","theater
Location Link: https://www.niederdeutschebuehne-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36623858&date=2024-11-27"
TIERE IM HOTEL,2024-11-27,10:30,,"Theater im Werftpark, Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416808&date=2024-11-27"
Werkommtderkommt,2024-11-27,20:00,,"Güterbahnhof, Kiel","theater
Die Überraschungsshow mit Promis und Liveband
Location Link: http://www.budenzauber-catering.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37238130&date=2024-11-27"
Kiel festhalten. Stadtansichten von Gretel Riemann,2024-11-27,11:30,,"Stadtmuseum Warleberger Hof, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: https://www.kiel.de/de/kultur_freizeit/museum/stadtmuseum_warleberger_hof.php
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37953893&date=2024-11-27"
Public Viewing: Champions League,2024-11-27,21:00,,"The Public, Kiel","sport
Live auf 3 Leinwänden und 10 Screens
Location Link: http://thepublic-pubandbar.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38311493&date=2024-11-27"
Chaos and Order,2024-11-27,17:00,,"Mediendom, Kiel","medien
Eintritt: 11,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673832&date=2024-11-27"
The Dark Side of the Moon Planetarium Experience,2024-11-27,18:30,,"Mediendom, Kiel","medien
Eintritt: 12,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673833&date=2024-11-27"
Kneipenquiz,2024-11-27,19:00,,"Nihil, Kiel","sonstige
Wissen, Raten, Rätseln und Schätzen
Location Link: https://www.facebook.com/NihilKiel/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=32182732&date=2024-11-27"
Somalischer Spieleabend,2024-11-27,19:30,,"Kulturladen Leuchtturm, Kiel","sonstige
Location Link: http://www.kulturladen-leuchtturm.info/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37687687&date=2024-11-27"
Pub Quiz,2024-11-27,19:30,,"Mc Langs Irish Pub, Kiel","sonstige
Location Link: https://www.mc-langs.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=28447588&date=2024-11-27"
Kieler Weihnachtsmarkt,2024-11-27,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-11-27"
Stadtwerke Eisfestival,2024-11-27,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-11-27"
1918 - 1989 - HEUTE ? AUSSTELLUNG - ALEXANDER TORDAY,2024-11-27,15:00,,"Kulturstation Toweddern, Kiel","kunst
Location Link: https://kulturinitiative-elmschenhagen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38231528&date=2024-11-27"
Jam SESSION - Akustik & Unplugged,2024-11-28,18:00,,"Siebeneck & Triangel, Kiel","konzert
Location Link: https://www.siebeneck-triangel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37774098&date=2024-11-28"
Schwarmsingen mit Winni,2024-11-28,18:30,,"Siebeneck & Triangel, Kiel","konzert
Singen für Alle
Location Link: https://www.siebeneck-triangel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38228555&date=2024-11-28"
Joe Astray im Prinz Willy,2024-11-28,20:00,,"Prinz Willy, Kiel","konzert
tags (teilw.) eintritt frei
Location Link: https://www.prinzwilly.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37073399&date=2024-11-28"
Konzert: Three for silver,2024-11-28,20:00,,"Kulturladen Leuchtturm, Kiel","konzert
Schach spielen, 20 €
Location Link: http://www.kulturladen-leuchtturm.info/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37337081&date=2024-11-28"
Aktion Leselust: Vorlesestunden für Kinder ab ca. 4 Jahren,2024-11-28,16:00,,"Stadtbücherei, Preetz, Kiel","literatur
tags kinder
Location Link: http://www.stadtbuecherei-preetz.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37334653&date=2024-11-28"
Falk Pyrczek – Immer zu viel,2024-11-28,20:00,,"Pumpe (Saal), Kiel","literatur
Lesung
Location Link: https://www.diepumpe.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36977394&date=2024-11-28"
Hansen oder die Sache mit dem Pinguin,2024-11-28,09:00,,"Niederdeutsche Bühne, Kiel","theater
Location Link: https://www.niederdeutschebuehne-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36623859&date=2024-11-28"
West Side Story,2024-11-28,19:00,,"Opernhaus, Kiel","theater
mit deutschen Dialogen und englischen Songs mit Übertiteln Musical in zwei Akt..
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416979&date=2024-11-28"
Wilde Reise durch die Nacht von Walter Moers,2024-11-28,20:00,,"Hansa48, Kiel","theater
Location Link: https://www.hansa48.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37854425&date=2024-11-28"
Kiel festhalten. Stadtansichten von Gretel Riemann,2024-11-28,11:30,,"Stadtmuseum Warleberger Hof, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: https://www.kiel.de/de/kultur_freizeit/museum/stadtmuseum_warleberger_hof.php
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37953893&date=2024-11-28"
GameDay,2024-11-28,16:00,,"Stadtteilbücherei Gaarden, Kiel","sonstige
Für Kinder (6-10 Jahre)
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37855079&date=2024-11-28"
Zauberlichterwald,2024-11-28,16:30,,"Schloss Hagen, Probsteierhagen, Kiel","sonstige
Interaktive Lichterwelt
Location Link: https://www.schloss-hagen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38318049&date=2024-11-28"
Basteln für Erwachsene,2024-11-28,18:00,,"Stadtteilbücherei Dietrichsdorf, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37855080&date=2024-11-28"
SPROTTENMILONGA // Trad. Tango,2024-11-28,19:30,,"Blauer Engel, Kiel","sonstige
Location Link: https://www.blauerengel-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36272798&date=2024-11-28"
Kieler Weihnachtsmarkt,2024-11-28,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-11-28"
Stadtwerke Eisfestival,2024-11-28,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-11-28"
1918 - 1989 - HEUTE ? AUSSTELLUNG - ALEXANDER TORDAY,2024-11-28,15:00,,"Kulturstation Toweddern, Kiel","kunst
Location Link: https://kulturinitiative-elmschenhagen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38231529&date=2024-11-28"
Malte Behrens – Nothing left for the Hunter,2024-11-28,19:00,,"Galerie K34, Kiel","kunst
Location Link: https://k34.org/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320533&date=2024-11-28"
JAM SESSION,2024-11-29,18:00,,"Siebeneck & Triangel, Kiel","konzert
tags (teilw.) eintritt frei
Location Link: https://www.siebeneck-triangel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=29781635&date=2024-11-29"
6nach6,2024-11-29,18:06,,"Stephanuskirche, Kiel","konzert
Location Link: https://www.trinitatis-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38319932&date=2024-11-29"
Podium der Jungen – 1. Meisterklasse,2024-11-29,19:00,,"Förde Sparkasse am Lorentzendamm, Kiel","konzert
tags cello
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673866&date=2024-11-29"
BAD AGE + MUSTANGS OF FIRE [Heavy Classic Rock],2024-11-29,19:00,,"Schaubude im Hinterhof, Kiel","konzert
tags rock, gitarre, orgel
Location Link: http://schaubude-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38236777&date=2024-11-29"
„Home for Christmas“ 2024,2024-11-29,19:30,,"Petruskirche, Kiel","konzert
DIE JUBILÄUMSTOUR
Location Link: http://www.akg-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37575045&date=2024-11-29"
"VorWeihNachtsFestival o24 > JENS KOMMNICK - Celtic Fingerstyle mit Einflüssen aus Klassik, Jazz und Rock (2)",2024-11-29,19:30,,"Alte Meierei am See, Postfeld, Kiel","konzert
tags rock, klassik, jazz
Location Link: https://www.alte-meierei-am-see.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37502567&date=2024-11-29"
Live: Vagabund Klezmerband. Releasekonzert zum neuen Album Zephyrus,2024-11-29,20:00,,"Hansa48, Kiel","konzert
Location Link: https://www.hansa48.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37854424&date=2024-11-29"
"Arne Jansen, Anders Jormin, Uwe Steinmetz: The Pilgrimage",2024-11-29,20:00,,"Kulturforum, Kiel","konzert
tags klassik, jazz, gitarre
Location Link: http://www.kiel.de/kultur/kulturforum/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38225408&date=2024-11-29"
Jugenddisco 12-15 Jahre,2024-11-29,18:00,,"Pumpe (Roter Salon), Kiel","disco
Party
Location Link: https://www.diepumpe.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36977395&date=2024-11-29"
TANZ INS BLAUE // Der große Tanzabend,2024-11-29,20:30,,"Blauer Engel, Kiel","disco
tags (teilw.) eintritt frei
Location Link: https://www.blauerengel-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38151173&date=2024-11-29"
Sal Y Perrea,2024-11-29,22:00,,"Traum GmbH, Kiel","disco
Reggaeton, Afrobeats, Latin-/Blackmusic
Location Link: https://traumgmbh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37239468&date=2024-11-29"
Abiparty,2024-11-29,22:00,,"Traum GmbH, Kiel","disco
Isarnwohld-Schule
Location Link: https://traumgmbh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38147605&date=2024-11-29"
Fachschaft Soziale Arbeit und Gesundheit: Partyzipation,2024-11-29,22:00,,"Alte Meierei, Kiel","disco
Location Link: https://www.altemeierei.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38312193&date=2024-11-29"
Freaky Friday,2024-11-29,22:00,,"Birdcage, Kiel","disco
Location Link: http://www.birdcage-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=30255024&date=2024-11-29"
NIKKI`s 360° Show,2024-11-29,23:00,,"Pumpe, Kiel","disco
10€
Location Link: https://www.diepumpe.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37958343&date=2024-11-29"
Masquerade Party,2024-11-29,23:00,,"Tucholsky, Kiel","disco
8,00 EUR
Location Link: http://www.tucholskykiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320995&date=2024-11-29"
NACHTSEMESTER,2024-11-29,23:00,,"Max Nachttheater, Kiel","disco
tags house, black, charts
Location Link: https://www.max-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38048868&date=2024-11-29"
SCHIEBT ANDERS w/ special guest PARAÇEK support by ALI BABY x SPIELKAMERAD,2024-11-29,23:59,,"Luna Club, Kiel","disco
Trance
Location Link: https://lunaclub.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38048644&date=2024-11-29"
Das VorWeihNachtsFestival „UND WENN DAS 5. LICHTLEIN BRENNT…!?!“,2024-11-29,00:00,,"Alte Meierei am See, Postfeld, Kiel","disco
Location Link: https://www.alte-meierei-am-see.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37502566&date=2024-11-29"
Poetry Slam-Duell - POETRY,2024-11-29,19:30,,"Kulturstation Toweddern, Kiel","literatur
Location Link: https://kulturinitiative-elmschenhagen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37860285&date=2024-11-29"
Bodo Wartke,2024-11-29,20:00,,"Lutterbeker, Lutterbek, Kiel","literatur
Location Link: https://www.lutterbeker.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37687249&date=2024-11-29"
Hansen oder die Sache mit dem Pinguin,2024-11-29,09:00,,"Niederdeutsche Bühne, Kiel","theater
Location Link: https://www.niederdeutschebuehne-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36623860&date=2024-11-29"
TIERE IM HOTEL,2024-11-29,10:30,,"Theater im Werftpark, Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416809&date=2024-11-29"
Der Rosenkavalier,2024-11-29,18:00,,"Opernhaus, Kiel","theater
in deutscher Sprache mit Übertiteln
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416784&date=2024-11-29"
Catcher in the Sky,2024-11-29,19:00,,"Mensa I am Westring (Bühne im Großen Saal (1.OG)), Kiel","theater
Location Link: http://www.uni-kiel.de/stwsh/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38233342&date=2024-11-29"
Malala,2024-11-29,19:30,,"Theater im Werftpark, Kiel","theater
tags kinder
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37417021&date=2024-11-29"
Weiber 3 - Der Berg ruft,2024-11-29,19:30,,"Lore & Lay Theaterfrachter Kiel, Kiel","theater
ab 31,00 €
Location Link: https://loreundlay-theater-schiff.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36706106&date=2024-11-29"
Arsen und Spitzenhäubchen,2024-11-29,20:00,,"Schauspielhaus, Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416913&date=2024-11-29"
"""Anne-Marie die Schönheit"" von Yasmina Reza -",2024-11-29,20:00,,"Theater Die Komödianten, Kiel","theater
ab 25,00 €
Location Link: https://die-komoedianten.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37068952&date=2024-11-29"
DeichArt: The Kieler Shining,2024-11-29,20:00,,"Hotel Maritim (Backbord Bar), Kiel","theater
Location Link: https://www.maritim.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37587825&date=2024-11-29"
De Bank in Park,2024-11-29,20:00,,"Lachmöwen-Theater, Laboe, Kiel","theater
Location Link: https://www.lachmoewen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36208559&date=2024-11-29"
Kiel festhalten. Stadtansichten von Gretel Riemann,2024-11-29,11:30,,"Stadtmuseum Warleberger Hof, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: https://www.kiel.de/de/kultur_freizeit/museum/stadtmuseum_warleberger_hof.php
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37953893&date=2024-11-29"
»Medien und Künstliche Intelligenz«,2024-11-29,16:00,,"Literaturhaus, Kiel","vortrag
Vortrag von Lena Falkenhagen
Location Link: https://literaturhaus-sh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37952446&date=2024-11-29"
Auswärtsspiele - Holstein Kiel II - VfB Lübeck,2024-11-29,19:30,,"Holstein-Stadion, Kiel","sport
Location Link: https://www.holstein-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38237054&date=2024-11-29"
Public Viewing: FC St. Pauli - Holstein Kiel,2024-11-29,20:30,,"The Public, Kiel","sport
Live auf 3 Leinwänden und 10 Screens
Location Link: http://thepublic-pubandbar.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38311495&date=2024-11-29"
Zauberlichterwald,2024-11-29,16:30,,"Schloss Hagen, Probsteierhagen, Kiel","sonstige
Interaktive Lichterwelt
Location Link: https://www.schloss-hagen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38318050&date=2024-11-29"
Eröffnung der N.i.L. Christmas Piazza,2024-11-29,18:00,,"N.i.L., Kiel","sonstige
Location Link: https://www.nil-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37588560&date=2024-11-29"
Crime Quiz Abend im Prinz Willy,2024-11-29,20:00,,"Prinz Willy, Kiel","sonstige
Location Link: https://www.prinzwilly.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38311595&date=2024-11-29"
Irische Nacht,2024-11-29,20:00,,"Hof Akkerboom, Kiel","sonstige
Location Link: http://www.hof-akkerboom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38127344&date=2024-11-29"
Kieler Weihnachtsmarkt,2024-11-29,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-11-29"
Stadtwerke Eisfestival,2024-11-29,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-11-29"
KUNSTMESSE KIEL Vernissage,2024-11-29,19:00,,"Ostseekai (Cruise Terminal), Kiel","kunst
10 €
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37952891&date=2024-11-29"
ADVENTSSINGEN Sing´mit uns!,2024-11-30,15:00,,"Bernhard-Minetti-Platz, Kiel","konzert
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37588561&date=2024-11-30"
JAM SESSION am Samstag - Genresessions,2024-11-30,18:00,,"Siebeneck & Triangel, Kiel","konzert
tags pop, stoner, psychedelic, rock, folk
Location Link: https://www.siebeneck-triangel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38225105&date=2024-11-30"
MAGNIFICAT / WEIHNACHTSORATORIUM I-III,2024-11-30,19:00,,"Ansgar-Kirche, Kiel","konzert
Carl Philipp Emanuel Bach: Magnificat
Location Link: https://www.heiligengeist-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37772774&date=2024-11-30"
CELTIC SPIRIT - a celtic christmas night,2024-11-30,19:30,,"Petruskirche, Kiel","konzert
auf weihnachtlicher Tour in Deutschland
Location Link: http://www.akg-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36367634&date=2024-11-30"
BRAINDROPS - KONZERT,2024-11-30,19:30,,"Kulturstation Toweddern, Kiel","konzert
tags gitarre, trompete, klavier
Location Link: https://kulturinitiative-elmschenhagen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37772287&date=2024-11-30"
SPLINTER + VUG,2024-11-30,20:00,,"Pumpe (Roter Salon), Kiel","konzert
Konzert
Location Link: https://www.diepumpe.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37946965&date=2024-11-30"
The Magical Sunshine Buddies,2024-11-30,20:00,,"Prinz Willy, Kiel","konzert
tags (teilw.) eintritt frei, rock, blues
Location Link: https://www.prinzwilly.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37510201&date=2024-11-30"
Live: Nils Frevert - Pseudopoesie,2024-11-30,20:00,,"Hansa48, Kiel","konzert
Location Link: https://www.hansa48.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37139235&date=2024-11-30"
Förde trifft Schelde,2024-11-30,20:00,,"Kulturforum, Kiel","konzert
ein Werkstattkonzert mit Mister Eddie (Kiel) und Hopscotch (Antwerpen)
Location Link: http://www.kiel.de/kultur/kulturforum/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38225409&date=2024-11-30"
Schmelztiegel,2024-11-30,20:30,,"Savoy, Bordesholm, Kiel","konzert
tags gitarre, geige, akkordeon
Location Link: https://savoy-bordesholm.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37845666&date=2024-11-30"
A Cappella Party - A cappella,2024-11-30,19:00,,"CAU Audimax, Kiel","disco
Location Link: https://www.uni-kiel.de/de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37857024&date=2024-11-30"
Rockabilly Night Vol. 8,2024-11-30,20:00,,"Traum GmbH, Kiel","disco
mit the Royal flush und DJ Alex *live*!
Location Link: https://traumgmbh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37774147&date=2024-11-30"
Party on 2 floors DYNAMITE,2024-11-30,23:00,,"Luna Club, Kiel","disco
Trance, Hits, Classics
Location Link: https://lunaclub.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38048645&date=2024-11-30"
Tucholsky,2024-11-30,23:00,,"Tucholsky, Kiel","disco
8 €
Location Link: http://www.tucholskykiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=237&date=2024-11-30"
Bad Girls Club,2024-11-30,23:00,,"Max Nachttheater, Kiel","disco
tags house, charts
Location Link: https://www.max-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38048869&date=2024-11-30"
SONIC TRIP Psytrance & Techno,2024-11-30,23:00,,"Hochbunker, Kiel","disco
tags techno
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38141918&date=2024-11-30"
Marco Gianni,2024-11-30,20:00,,"Max Nachttheater, Kiel","comedy
Location Link: https://www.max-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35668395&date=2024-11-30"
Poetry Slam (moderiert von Björn Högsdal),2024-11-30,20:00,,"Kultur-und Bildungszentrum, Gettorf, Kiel","comedy
14 EURO, Ermäßigung 8 EURO
Location Link: https://www.gettorf.de/gemeinde_gettorf/Kultur&Bildung/Kultur-%20und%20Bildungszentrum/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37854411&date=2024-11-30"
"Oh, wie schön ist Panama",2024-11-30,11:00,,"Theater im Werftpark, Kiel","theater
Ab 3 Jahren
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37417035&date=2024-11-30"
Hansen oder die Sache mit dem Pinguin,2024-11-30,14:30,,"Niederdeutsche Bühne, Kiel","theater
Location Link: https://www.niederdeutschebuehne-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36623861&date=2024-11-30"
Weiber 3 - Der Berg ruft,2024-11-30,16:00,,"Lore & Lay Theaterfrachter Kiel, Kiel","theater
ab 31,00 €
Location Link: https://loreundlay-theater-schiff.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36706143&date=2024-11-30"
Die Fledermaus,2024-11-30,19:00,,"Opernhaus, Kiel","theater
in deutscher Sprache mit Übertiteln
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416771&date=2024-11-30"
Arsen und Spitzenhäubchen,2024-11-30,20:00,,"Schauspielhaus, Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416914&date=2024-11-30"
"""Anne-Marie die Schönheit"" von Yasmina Reza -",2024-11-30,20:00,,"Theater Die Komödianten, Kiel","theater
ab 25,00 €
Location Link: https://die-komoedianten.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37068980&date=2024-11-30"
DeichArt: The Kieler Shining,2024-11-30,20:00,,"Hotel Maritim (Backbord Bar), Kiel","theater
Location Link: https://www.maritim.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37587826&date=2024-11-30"
Weihnachten mit den drei Herren,2024-11-30,20:00,,"Kultur-Diele Elmschenhagen, Kiel","theater
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36281769&date=2024-11-30"
Eingeschlossene Gesellschaft von Jan Weiler,2024-11-30,20:00,,"Verein „Maritimes Viertel“, Kiel","theater
17€/ 12 € ermäßigt
Location Link: http://maritimesviertel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37066400&date=2024-11-30"
Lounge 21 / 22 / 23,2024-11-30,22:00,,"Opernhaus (Foyer), Kiel","theater
Das Chill-Out-Programm der Oper Kiel
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38145828&date=2024-11-30"
De Bank in Park,2024-11-30,22:00,,"Lachmöwen-Theater, Laboe, Kiel","theater
Location Link: https://www.lachmoewen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36208560&date=2024-11-30"
Kiel festhalten. Stadtansichten von Gretel Riemann,2024-11-30,11:30,,"Stadtmuseum Warleberger Hof, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: https://www.kiel.de/de/kultur_freizeit/museum/stadtmuseum_warleberger_hof.php
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37953893&date=2024-11-30"
Was ist NLP?,2024-11-30,16:00,,"NLP Akademie, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: http://www.nlp-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38319685&date=2024-11-30"
Der Balkan,2024-11-30,19:00,,"Lebensraum (Adventgemeinde Kiel), Kiel","vortrag
Reisevortrag
Location Link: https://kiel.adventist.eu/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37685487&date=2024-11-30"
Skate Fever - Schaulaufen der REG Kiel e.V.,2024-11-30,15:00,,"Stralsundhalle, Kiel","sport
Schaulaufen der REG Kiel e.V.
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38318040&date=2024-11-30"
Bundesliga Public Viewing: BVB Dortmund - FC Bayern München,2024-11-30,15:30,,"The Public, Kiel","sport
Live auf 3 Leinwänden und 10 Screens
Location Link: http://thepublic-pubandbar.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38311496&date=2024-11-30"
THW Kiel - HSG Wetzlar,2024-11-30,19:00,,"Wunderino Arena, Kiel","sport
Bundesliga
Location Link: https://www.wunderino-arena.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673599&date=2024-11-30"
Skate Fever - Schaulaufen der REG Kiel e.V.,2024-11-30,19:00,,"Stralsundhalle, Kiel","sport
Schaulaufen der REG Kiel e.V.
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38318041&date=2024-11-30"
Armstrong,2024-11-30,14:00,,"Mediendom, Kiel","medien
tags kinder
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673834&date=2024-11-30"
Dinosaurier und das Abenteuer des Fliegens,2024-11-30,15:30,,"Mediendom, Kiel","medien
Eintritt: 10,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673835&date=2024-11-30"
Unendliche Weiten,2024-11-30,18:30,,"Mediendom, Kiel","medien
Eintritt: 10,00€
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673836&date=2024-11-30"
Queerer Flohmarkt,2024-11-30,10:00,,"Pumpe (Saal), Kiel","sonstige
Markt
Location Link: https://www.diepumpe.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37768544&date=2024-11-30"
