,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
178,DISTORTION DISCO - AMPLIFYING FLINTA* AND QUEERS,30.11.,30.11.,23:00,N/A,Molotow,Hamburg,"https://rausgegangen.de/events/distortion-disco-amplifying-flinta-and-queers-2/ , Preis: Preis an AK",Party,music
179,"FOR US - Volume 1 ""Turn up the volume""",30.11.,30.11.,23:00,N/A,Coda Club,Hamburg,"https://rausgegangen.de/events/for-us-volume-1-turn-up-the-volume-0/ , Preis: 10,00 bis 15,00 €",Party,music
180,FUNDBUREAU 30.11.24,30.11.,30.11.,23:00,N/A,Fundbureau,Hamburg,"https://rausgegangen.de/events/fundbureau-301124-0/ , Preis: Preis an AK",Party,music
181,MOTORBOOTY! GOES POP,30.11.,30.11.,23:00,N/A,Molotow,Hamburg,"https://rausgegangen.de/events/motorbooty-goes-pop-1/ , Preis: Preis an AK",Party,music
182,"Shadow Sect, 3nlight, Scary Woods & Sindicate at Bass Forward The Revolution",30.11.,30.11.,23:00,N/A,MS Stubnitz,Hamburg,"https://rausgegangen.de/events/shadow-sect-3nlight-scary-woods-sindicate-at-bass-forward-th-0/ , Preis: 19,00 bis 23,00 €",Party,music
183,SounDate,30.11.,30.11.,23:00,N/A,Beat Boutique,Hamburg,"https://rausgegangen.de/events/soundate-0/ , Preis: Preis an AK",Party,music
184,SounDate Tech House Party,30.11.,30.11.,23:00,N/A,Beat Boutique,Hamburg,"https://rausgegangen.de/events/soundate-1/ , Preis: 10,00 €",Party,music
185,HEARTPHONES - Hamburgs Kopfhörerparty,30.11.,30.11.,23:59,N/A,KNUST Hamburg,Hamburg,"https://rausgegangen.de/events/heartphones-hamburgs-kopfhorerparty-14/ , Preis: 8,00 bis 10,00 €",Party,music
186,Caribbean Night,03.12.,03.12.,20:00,N/A,Cascadas,Hamburg,"https://rausgegangen.de/events/caribbean-night-140/ , Preis: 7,00 €",Party,music
187,Schmetterball Tischtennis & Open Decks,04.12.,04.12.,19:00,N/A,Karoline,Hamburg,"https://rausgegangen.de/events/schmetterball-tischtennis-open-decks-9/ , Preis: Preis an AK",Party,music
188,Mietendemo,05.12.,05.12.,17:00,N/A,Gänsemarkt,Hamburg,"https://rausgegangen.de/events/mietendemo-0/ , Preis: Eintritt frei",Party,music
189,AWC / After Work Club,05.12.,05.12.,18:00,N/A,Café Schöne Aussichten (CSA),Hamburg,"https://rausgegangen.de/events/awc-after-work-club-25/ , Preis: Preis an AK",Party,music
190,Sounds In The Cloud,05.12.,05.12.,18:00,N/A,Cloud One Bar,Hamburg,"https://rausgegangen.de/events/sounds-in-the-cloud-22/ , Preis: Eintritt frei",Party,music
191,Donnerstag Afterwork Pubcrawl,05.12.,05.12.,21:00,N/A,Reeperbahn,Hamburg,"https://rausgegangen.de/events/donnerstag-afterwork-pubcrawl-6/ , Preis: 9,90 €",Party,music
192,Christmas Garden Hamburg,29.11.,29.11.,16:30,N/A,Christmas Garden Hamburg,Hamburg,"https://rausgegangen.de/events/christmas-garden-hamburg-9/ , Preis: 16,50 bis 32,50 €",Feste & Festival,music
193,Good Cause Festival zu Gunsten der Initiative Barrierefrei Feiern,30.11.,30.11.,16:30,N/A,Bahnhof Pauli,Hamburg,"https://rausgegangen.de/events/good-cause-festival-zu-gunsten-der-initiative-barrierefrei-f-0/ , Preis: 5,00 bis 15,00 €",Feste & Festival,music
194,NORDWIND Festival 2024 »New Allies«,04.12.,04.12.,10:00,N/A,Kampnagel,Hamburg,"https://rausgegangen.de/events/nordwind-festival-2024-new-allies-0/ , Preis: Div. Preiskat.",Feste & Festival,music
195,"Märchenfest 2025 – den Tisch ließ ich decken, lasst es euch schmecken!",26.01.,26.01.,10:30,N/A,MARKK,Hamburg,"https://rausgegangen.de/events/marchenfest-2025-den-tisch-lie-ich-decken-lasst-es-euch-schm-0/ , Preis: 4,00 bis 9,50 €",Feste & Festival,music
196,Noisy Festival 2025,18.07.,18.07.,14:00,N/A,Cruise Center Altona,Hamburg,"https://rausgegangen.de/events/noisy-festival-2025-0/ , Preis: 29,00 bis 99,00 €",Feste & Festival,music
197,Jam Session,29.11.,29.11.,18:00,N/A,Alte MU,Kiel,"https://rausgegangen.de/events/jam-session-129/ , Preis: Eintritt frei",Konzerte & Musik,music
198,Irische Nacht,29.11.,29.11.,20:00,N/A,Hof Akkerboom e.V.,Kiel,"https://rausgegangen.de/events/irische-nacht-1/ , Preis: 5,00 €",Konzerte & Musik,music
199,Live: Vagabund Klezmerband. Releasekonzert zum neuen Album Zephyrus,29.11.,29.11.,20:00,N/A,hansa48,Kiel,"https://rausgegangen.de/events/live-vagabund-klezmerband-releasekonzert-zum-neuen-album-zep-0/ , Preis: 13,00 bis 15,00 €",Konzerte & Musik,music
200,WIRTZ - DNA TOUR 2024,29.11.,29.11.,20:00,N/A,MAX Nachttheater Kiel,Kiel,"https://rausgegangen.de/events/wirtz-dna-tour-2024-14/ , Preis: 49,90 €",Konzerte & Musik,music
201,Live: Nils Frevert - Pseudopoesie,30.11.,30.11.,20:00,N/A,hansa48,Kiel,"https://rausgegangen.de/events/live-nils-frevert-pseudopoesie-0/ , Preis: 23,00 €",Konzerte & Musik,music
202,Karaoke,03.12.,03.12.,22:00,N/A,Pogue Mahone,Kiel,"https://rausgegangen.de/events/karaoke-705/ , Preis: Eintritt frei",Konzerte & Musik,music
203,BAP,04.12.,04.12.,20:00,N/A,Wunderino Arena,Kiel,"https://rausgegangen.de/events/bap-5/ , Preis: 48,40 €",Konzerte & Musik,music
204,Jam Session,04.12.,04.12.,20:30,N/A,Pogue Mahone,Kiel,"https://rausgegangen.de/events/jam-session-171/ , Preis: Eintritt frei",Konzerte & Musik,music
205,so soon,05.12.,05.12.,19:00,N/A,hansa48,Kiel,"https://rausgegangen.de/events/so-soon-5/ , Preis: 19,64 €",Konzerte & Musik,music
