,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
30,Alexander von Schlippenbach Trio anzeigen,5.12.,5.12.,19:30,N/A,JazzHall (an der HfMT),"Hamburg, HH",https://www.eventbrite.de/e/alexander-von-schlippenbach-trio-tickets-1012979969357?aff=ebdssbdestsearch,music,music
31,Old School Vibes x Moondoo HAMBURG #10 anzeigen,13.12.,13.12.,23:00,N/A,Moondoo,"Hamburg, HH",https://www.eventbrite.de/e/old-school-vibes-x-moondoo-hamburg-10-tickets-1012788005187?aff=ebdssbdestsearch,music,music
32,CHERRY MOON X LEOS CAFE anzeigen,7.12.,7.12.,19:00,N/A,Colonnaden 9,"Hamburg, HH",https://www.eventbrite.com/e/cherry-moon-x-leos-cafe-tickets-1063850388149?aff=ebdssbdestsearch,music,music
33,Shut Up and Dance anzeigen,7.12.,7.12.,22:00,N/A,Spielbank Hamburg - Casino Esplanade,"Hamburg, HH",https://www.eventbrite.de/e/shut-up-and-dance-tickets-1050463674127?aff=ebdssbdestsearch,music,music
34,Resonance Rave anzeigen,21.12.,21.12.,22:00,N/A,Am Kulturwerk,"Norderstedt, SH",https://www.eventbrite.de/e/resonance-rave-tickets-1047995702357?aff=ebdssbdestsearch,music,music
35,Heartbeat Harmony – Zum Jahresausklang anzeigen,14.12.,14.12.,17:00,N/A,Yogaraum Hamburg,"Hamburg, HH",https://www.eventbrite.de/e/heartbeat-harmony-zum-jahresausklang-tickets-1075518146729?aff=ebdssbdestsearch,music,music
36,Die Sinatra Story anzeigen,21.12.,21.12.,22:00,N/A,Spielbank Hamburg - Casino Esplanade,"Hamburg, HH",https://www.eventbrite.de/e/die-sinatra-story-tickets-1036968840717?aff=ebdssbdestsearch,music,music
37,Weihnachtsgospel mit Juliana Mensah anzeigen,14.12.,14.12.,11:00,N/A,St. Gabriel Kirche,"Hamburg, ",https://www.eventbrite.de/e/weihnachtsgospel-mit-juliana-mensah-tickets-806206394027?aff=ebdssbdestsearch,music,music
38,Kissneyland • Childhood Party • Bahnhof Pauli Hamburg anzeigen,21.12.,21.12.,22:30,N/A,"Bahnhof Pauli : The Underground Club Station Hamburg - Konzerte, Club, Events","Hamburg, HH",https://www.eventbrite.com/e/kissneyland-childhood-party-bahnhof-pauli-hamburg-tickets-994892729937?aff=ebdssbdestsearch,music,music
39,FEIERABEND - Hamburgs Afterwork x MARK BALE anzeigen,5.12.,5.12.,18:00,N/A,HERITAGE Hamburg,"Hamburg, HH",https://www.eventbrite.de/e/feierabend-hamburgs-afterwork-x-mark-bale-tickets-1088444549949?aff=ebdssbdestsearch,music,music
40,FEIERABEND - Hamburgs Afterwork - X-Mas SPECIAL anzeigen,19.12.,19.12.,18:00,N/A,HERITAGE Hamburg,"Hamburg, HH",https://www.eventbrite.de/e/feierabend-hamburgs-afterwork-x-mas-special-tickets-1088447468679?aff=ebdssbdestsearch,music,music
41,DISCO AFFAIRS X LEOS CAFE anzeigen,6.12.,6.12.,20:00,N/A,Leos Cafe,"Hamburg, HH",https://www.eventbrite.de/e/disco-affairs-x-leos-cafe-tickets-1094379782389?aff=ebdssbdestsearch,music,music
42,Christmas House Night anzeigen,6.12.,6.12.,22:00,N/A,CIU` DIE BAR,"Hamburg, HH",https://www.eventbrite.com/e/christmas-house-night-tickets-1092594753319?aff=ebdssbdestsearch,music,music
43,CHERRY MOON X GAGA OPENING anzeigen,27.12.,27.12.,23:00,N/A,GAGA,"Hamburg, HH",https://www.eventbrite.com/e/cherry-moon-x-gaga-opening-tickets-1063845202639?aff=ebdssbdestsearch,music,music
44,Benefizkonzert für das Kinderhospiz Sternenbrücke anzeigen,6.12.,6.12.,19:00,N/A,Moxy Hamburg Altona,"Hamburg, HH",https://www.eventbrite.de/e/benefizkonzert-fur-das-kinderhospiz-sternenbrucke-tickets-1062046933969?aff=ebdssbdestsearch,music,music
45,VDSIS präsentiert: CHRISTMAS-CONTEST  HAMBURG (VDSIS-Army in Hamburg) anzeigen,21.12.,21.12.,16:00,N/A,Paul-Sorge-Straße 133-135,"Hamburg, HH",https://www.eventbrite.de/e/vdsis-prasentiert-christmas-contest-hamburg-vdsis-army-in-hamburg-tickets-1082204114639?aff=ebdssbdestsearch,music,music
46,"Beat & Beats – Trio Catch, Ensemble Resonanz & Dell-Lillinger-Westergaard anzeigen",14.12.,14.12.,19:00,N/A,resonanzraum,"Hamburg, HH",https://www.eventbrite.de/e/beat-beats-trio-catch-ensemble-resonanz-dell-lillinger-westergaard-tickets-1059463677379?aff=ebdssbdestsearch,music,music
47,Ohrknacker: Beat Furrer / Trio Catch anzeigen,14.12.,14.12.,19:00,N/A,resonanzraum,"Hamburg, HH",https://www.eventbrite.de/e/ohrknacker-beat-furrer-trio-catch-tickets-1059455472839?aff=ebdssbdestsearch,music,music
48,Music has no barries anzeigen,31.12.,31.12.,13:00,N/A,Horner Rennbahn,"Hamburg, HH",https://www.eventbrite.com/e/music-has-no-barries-tickets-678708845427?aff=ebdssbdestsearch,music,music
49,Die Kapeiken - Kapeiksche Weihnacht 2024 anzeigen,21.12.,21.12.,17:30,N/A,Marstall,"Winsen (Luhe), NDS",https://www.eventbrite.com/e/die-kapeiken-kapeiksche-weihnacht-2024-tickets-1087141963879?aff=ebdssbdestsearch,music,music
50,Black Diamond / Die ultimative Old School Party im Metropol Stade anzeigen,7.12.,7.12.,11:00,N/A,Metropol,"Stade, NDS",https://www.eventbrite.com/e/black-diamond-die-ultimative-old-school-party-im-metropol-stade-tickets-1089226849829?aff=ebdssbdestsearch,music,music
51,"VERFLIXT MUSIC PRES. DENNIS LOUVRA, CONVINZED & SITZE (B2B2B) @CSA anzeigen",14.12.,14.12.,22:00,N/A,Café Schöne Aussichten Hamburg,"Hamburg, HH",https://www.eventbrite.com/e/verflixt-music-pres-dennis-louvra-convinzed-sitze-b2b2b-csa-tickets-1097104411829?aff=ebdssbdestsearch,music,music
52,Beats & Barefoots - das Barfuß Tanzevent mit DJ Dave in Lübeck! anzeigen,7.12.,7.12.,20:00,N/A,Bunte Räume Lübeck,"Lübeck, SH",https://www.eventbrite.de/e/beats-barefoots-das-barfu-tanzevent-mit-dj-dave-in-lubeck-tickets-1078673073199?aff=ebdssbdestsearch,music,music
53,Fisch sucht Fahrrad Hamburg | Das Adventsspecial | 30.11.24 anzeigen,30.11.,30.11.,21:00,N/A,KENT Club,"Hamburg, HH",https://www.eventbrite.de/e/fisch-sucht-fahrrad-hamburg-das-adventsspecial-301124-tickets-850820004537?aff=ebdssbdestsearch,music,music
54,Tributo Ferxxo // Feid Double Live On Stage anzeigen,30.11.,30.11.,22:00,N/A,LEGEND club,"Hamburg, HH",https://www.eventbrite.com/e/tributo-ferxxo-feid-double-live-on-stage-tickets-1041227719137?aff=ebdssbdestsearch,music,music
55,Eutin's Schlagerparty des Jahres! anzeigen,6.12.,6.12.,21:00,N/A,Eventhalle TR-Zeltverleih,"Eutin, Schleswig-Holstein",https://www.eventbrite.com/e/eutins-schlagerparty-des-jahres-tickets-1032083699127?aff=ebdssbdestsearch,music,music
56,SPOTLIGHT SESSIONS by «stadtklang» w/BEN P WILLIAMS anzeigen,5.12.,5.12.,20:00,N/A,Ruby Lotti Hotel & Bar,"Hamburg, HH",https://www.eventbrite.de/e/spotlight-sessions-by-stadtklang-wben-p-williams-tickets-1014533626387?aff=ebdssbdestsearch,music,music
57,Studiokonzert Klavier anzeigen,16.12.,16.12.,19:00,N/A,Hochschule für Musik und Theater,"Hamburg, HH",https://www.eventbrite.de/e/studiokonzert-klavier-tickets-1050394326707?aff=ebdssbdestsearch,music,music
