,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
86,New York Gospel Stars,2025-01-18,2025-01-18,19:30, ,"Hamburg, St. Michaelis",Hamburg,https://www.livegigs.de/konzert/new-york-gospel-stars/hamburg-st-michaelis/2025-01-18,Konzert - Folk,True
87,New York Gospel Stars,2025-01-19,2025-01-19,18:00, ,"Wedel, Christuskirche",Wedel,https://www.livegigs.de/konzert/new-york-gospel-stars/wedel-christuskirche/2025-01-19,Konzert - Folk,True
88,Delinquent Habits,2025-01-21,2025-01-21,20:00, ,"Hamburg, LOGO",Hamburg,https://www.livegigs.de/konzert/delinquent-habits/hamburg-logo/2025-01-21,Konzert - HipHop/Rap,True
89,Kanaan & Ævestaden,2025-01-21,2025-01-21,19:30, ,"Hamburg, MS Stubnitz",Hamburg,https://www.livegigs.de/konzert/kanaan-und-vestaden/hamburg-ms-stubnitz/2025-01-21,Konzert,True
90,New York Gospel Stars,2025-01-21,2025-01-21,20:00, ,"Lüneburg, St. Johannis Kirche",Lüneburg,https://www.livegigs.de/konzert/new-york-gospel-stars/lueneburg-st-johannis-kirche/2025-01-21,Konzert - Folk,True
91,Insomnium,2025-01-22,2025-01-22,19:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/insomnium/hamburg-markthalle/2025-01-22,Konzert - Metal,True
92,"Lydia Lunch & Marc Hurtado Plays Suicide And Alan Vega Songs, + Liz Lamere!",2025-01-22,2025-01-22,19:30, ,"Hamburg, MS Stubnitz",Hamburg,https://www.livegigs.de/konzert/lydia-lunch-und-marc-hurtado-plays-suicide-and-alan-vega-songs-liz-lamere/hamburg-ms-stubnitz/2025-01-22,Konzert,True
93,Olaf Schubert,2025-01-22,2025-01-22,20:00, ,"Hamburg, Deutsches Schauspielhaus",Hamburg,https://www.livegigs.de/kunst-theater/olaf-schubert/hamburg-deutsches-schauspielhaus/2025-01-22,Kunst / Theater,True
94,Alphaville,2025-01-23,2025-01-23,20:00, ,"Kiel, Wunderino Arena",Kiel,https://www.livegigs.de/konzert/alphaville/kiel-wunderino-arena/2025-01-23,Konzert - Indie/Alternative,True
95,Motionless in White,2025-01-23,2025-01-23,19:30, ,"Hamburg, Inselpark Arena",Hamburg,https://www.livegigs.de/konzert/motionless-in-white/hamburg-inselpark-arena/2025-01-23,Konzert - Metal,True
96,New York Gospel Stars,2025-01-23,2025-01-23,20:00, ,"Buxtehude, Pauluskirche zu Buxtehude",Buxtehude,https://www.livegigs.de/konzert/new-york-gospel-stars/buxtehude-pauluskirche-zu-buxtehude/2025-01-23,Konzert - Folk,True
97,Olaf Schubert,2025-01-23,2025-01-23,20:00, ,"Hamburg, Deutsches Schauspielhaus",Hamburg,https://www.livegigs.de/kunst-theater/olaf-schubert/hamburg-deutsches-schauspielhaus/2025-01-23,Kunst / Theater,True
98,"Defeated Sanity with To Violently Vomit, Putrid Pile & more",2025-01-24,2025-01-24,19:30, ,"Hamburg, Bambi Galore",Hamburg,https://www.livegigs.de/konzert/defeated-sanity-with-to-violently-vomit-putrid-pile-und-more/hamburg-bambi-galore/2025-01-24,Konzert - Metal,True
99,Emil Bulls,2025-01-24,2025-01-24,20:00, ,"Kiel, Die Pumpe e.V.",Kiel,https://www.livegigs.de/konzert/emil-bulls/kiel-die-pumpe-ev/2025-01-24,Konzert - Punkrock/Hardcore,True
