,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
81,Licht & Schatten,2024-12-12,2024-12-12,11:00,18:00,Pop-up Pavillon,Kiel,https://kiel-sailing-city.de/e/licht-schatten/o-a48fc43c-a77d-441b-bc1d-f34895909922,"['Kultur', 'Ausstellung']",False
82,Weihnachtsmarkt - Holstenplatz,2024-12-12,2024-12-12,11:00,21:00,Holstenplatz,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-holstenplatz/o-b5498d20-04d0-4b7d-819d-7c512ec17d4e,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",False
83,"Riesenrad am Bahnhof ""La Noria""",2024-12-12,2024-12-12,11:00,21:00,Kiel Hauptbahnhof,Kiel,https://kiel-sailing-city.de/e/riesenrad-am-bahnhof-la-noria/o-c936363c-a2d8-4768-9210-e6921924ad97,"['Kultur', 'Sport/Freizeit']",False
84,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,2024-12-12,2024-12-12,11:00,18:00,Kunstraum Sconeberg,Kiel,https://kiel-sailing-city.de/e/kunstraum-sconeberg-mit-ganzjaehrigem-ausstellungsangebot/o-f578c23f-afe1-4270-984b-0e8d74c5d532,"['Ausstellung', 'Kultur']",False
85,Kunsthandwerk erleben (ABGESAGT),2024-12-12,2024-12-12,11:00,18:00,Pop-up Pavillon,Kiel,https://kiel-sailing-city.de/e/kunsthandwerk-erleben-abgesagt/o-fcb80b0f-a1d5-42c1-b375-8541f5fb6b73,"['Ausstellung', 'Kultur']",False
86,Wintermarkt Bootshafen,2024-12-12,2024-12-12,12:00,21:00,Bootshafen,Kiel,https://kiel-sailing-city.de/e/wintermarkt-bootshafen/o-bc75d3fa-ba62-4d40-831e-4f6b4bb8bb15,"['Gastronomie', 'Regionale Spezialitäten', 'Kultur', 'Märkte', 'Nachtleben']",True
87,Weihnachtsmarkt Bernhard-Minetti-Platz / Holtenauer Straße,2024-12-12,2024-12-12,12:00,21:00,Bernhard-Minetti-Platz,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-bernhard-minetti-platz-holtenauer-strasse/o-c6630e33-c4b5-4731-98d1-5c11cd51ffd8,"['Märkte', 'Kultur', 'Gastronomie', 'Kinderprogramm']",False
88,Stadtwerke Eisfestival,2024-12-12,2024-12-12,13:00,20:00,Germaniahafen,Kiel,https://kiel-sailing-city.de/e/stadtwerke-eisfestival-1/o-0dcf5824-af98-42f1-980e-a8d4c845805f,"['Sport/Freizeit', 'Kinderprogramm', 'Kultur']",False
89,Mogens Gissel (1942 - 2022) - Mit den Augen verstanden,2024-12-12,2024-12-12,14:00,17:00,Künstlermuseum Heikendorf,Kiel,https://kiel-sailing-city.de/e/mogens-gissel-1942-2022-mit-den-augen-verstanden/o-a510e548-23b8-4fec-9731-bdc27f7e2cb0,"['Ausstellung', 'Kultur']",False
90,Vorlesen für Kinder,2024-12-12,2024-12-12,15:30,16:30,Stadtteilbücherei Suchsdorf,Kiel,https://kiel-sailing-city.de/e/vorlesen-fuer-kinder-9/o-833d7678-1ed1-4b1a-880b-9bfd8b25847e,"['Kinderprogramm', 'Lesungen']",False
91,Weihnachtliches Kamishibai,2024-12-12,2024-12-12,15:30,16:00,Stadtteilbücherei Elmschenhagen,Kiel,https://kiel-sailing-city.de/e/weihnachtliches-kamishibai/o-ad4ce665-d19c-490b-b90f-c77ad9ae41db,"['Kinderprogramm', 'Lesungen']",False
92,Bilderbuchkino: Die wunderbare Weihnachtsreise,2024-12-12,2024-12-12,16:00,16:30,Stadtteilbücherei Gaarden,Kiel,https://kiel-sailing-city.de/e/bilderbuchkino-die-wunderbare-weihnachtsreise/o-adae8ff7-700f-41e2-9fa1-db90ef243871,"['Kinderprogramm', 'Lesungen']",False
93,"""Auf ein Fischbrötchen, Herodot!"", oder: Warum, woran und wie erinnern?",2024-12-12,2024-12-12,16:00,18:00,Universitätsbibliothek Kiel,Kiel,https://kiel-sailing-city.de/e/auf-ein-fischbroetchen-herodot-oder-warum-woran-und-wie-erinnern/o-d2edc4b7-39ca-4a64-8622-b93e3db8811b,"['Führung/Besichtigung', 'Kultur', 'Wissenschaft']",False
94,"Öffentliche Führung durch ""Ein Funke im System""",2024-12-12,2024-12-12,17:00,18:00,Stadtgalerie Kiel,Kiel,https://kiel-sailing-city.de/e/oeffentliche-fuehrung-durch-ein-funke-im-system/o-4352fe4b-d285-4a02-a728-07e203b635f6,"['Führung/Besichtigung', 'Kultur']",False
