,Date,Event,Time,Location,Category,Source
9,2024-10-06,MUK.NEUE.HORIZONTE: Tony Yun - Klavierkonzert,18:00,MuK - kleiner Saal,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
10,2024-10-06,EA 80 & Klotzs - Deutschpunklegenden,19:00,Treibsand,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
11,2024-10-06,Vingard,20:00,Tonfink,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
12,2024-10-06,Architecton,18:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
13,2024-10-06,Element of Crime in - Wenn es dunkel und kalt wird in Berlin,16:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
14,2024-10-06,Samia (DF),20:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
15,2024-10-06,Bestattungskulturen in Lübeck und der Welt. Vom Ruheort zum Coffin Dance,10:00,Geschichtswerkstatt Herrenwyk,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
16,2024-10-06,Buddenbrooks im Behnhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
17,2024-10-06,Fokus Farbscholle,10:00,Dom zu Lübeck,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
18,2024-10-06,Grass TANZBAR,10:00,Günter Grass-Haus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
19,2024-10-06,Heather Phillipson: Extra Time,10:00,Kunsthalle St. Annen,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
20,2024-10-06,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,10:00,St. Annen-Museum,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
21,2024-10-06,Unsere Wakenitz,10:00,Museum für Natur und Umwelt,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
22,2024-10-06,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
23,2024-10-06,"Text trifft Tanke - Kunstwerke zum Thema ""Schöpfung"" lyrisch interpretiert",13:00,Kunsttankstelle Defacto Art,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
24,2024-10-06,Johannes Brahms - Beziehungszauber,14:00,Villa Brahms,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
25,2024-10-06,Mädchen Klamotte - Großer Indoor Mädelsflohmarkt,11:00,MuK – Rotunde,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
26,2024-10-06,Luke Mockridge - Funny Times,19:00,Kolosseum,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
0,2024-10-07,Die Passagierin - Öffentliche Probe,19:00,Theater Lübeck – Kammerspiele,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
1,2024-10-07,Monday Shorts - »Tanz und Terror« in Kooperation mit dem Günter Grass-Haus,19:30,Theaterrestaurant Dülfer,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
2,2024-10-07,Orgelabend,18:00,St. Jakobi,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
3,2024-10-07,Sebastian Knauer & Johannes Strate: Klassik meets Pop Tour 2024,20:00,Musik- und Kongresshalle – MuK,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
4,2024-10-07,Architecton,20:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
5,2024-10-07,Samia (OmU),18:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
6,2024-10-07,Grass TANZBAR,10:00,Günter Grass-Haus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
7,2024-10-07,Johannes Brahms - Beziehungszauber,14:00,Villa Brahms,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
0,2024-10-08,"Oh, wie schön ist Panama - Figurentheater KOLK 17",16:00,Europäisches Hansemuseum,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
1,2024-10-08,Open Stage extra,19:30,Kunsttankstelle Defacto Art,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
2,2024-10-08,Architecton,18:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
3,2024-10-08,Samia (DF),20:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
4,2024-10-08,Unsere Wakenitz,09:00,Museum für Natur und Umwelt,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
5,2024-10-08,Buddenbrooks im Behnhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
6,2024-10-08,Grass TANZBAR,10:00,Günter Grass-Haus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
7,2024-10-08,Heather Phillipson: Extra Time,10:00,Kunsthalle St. Annen,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
8,2024-10-08,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,10:00,St. Annen-Museum,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
9,2024-10-08,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
10,2024-10-08,Daina Weinland - POP-UP-GALERIE,12:00,Galeriewerkstatt Caroline Rügge,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
11,2024-10-08,"Mary Roos & Wolfgang Trepper: Mehr Nutten, mehr Koks - scheiss auf die Erdbeeren!",20:00,Musik- und Kongresshalle – MuK,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
0,2024-10-09,"Oh, wie schön ist Panama - Figurentheater KOLK 17",16:00,Europäisches Hansemuseum,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
1,2024-10-09,Der Durchbruch - Das Kleinkunstmusical,19:30,Theater Combinale,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
2,2024-10-09,Rails & River,19:30,sZiggy´s Bar,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
3,2024-10-09,Anton O'Donnell,20:00,Tonfink,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
4,2024-10-09,Architecton,20:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
5,2024-10-09,Samia (OmU),18:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
6,2024-10-09,Unsere Wakenitz,09:00,Museum für Natur und Umwelt,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
7,2024-10-09,Buddenbrooks im Behnhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
8,2024-10-09,Grass TANZBAR,10:00,Günter Grass-Haus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
9,2024-10-09,Heather Phillipson: Extra Time,10:00,Kunsthalle St. Annen,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
10,2024-10-09,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,10:00,St. Annen-Museum,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
11,2024-10-09,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
12,2024-10-09,Petrarca - Humanist und König der Dichter,18:30,VHS Falkenplatz,Vorträge,https://www.unser-luebeck.de/veranstaltungskalender/
13,2024-10-09,Alexander Stevens & Constantin Schreiber: Angeklagt – schuldig oder nicht?,20:00,Musik- und Kongresshalle – MuK,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
14,2024-10-09,Siegfried & Joy - Las Vegas in Lübeck,20:00,Kolosseum,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
0,2024-10-10,Der Teufel mit den drei goldenen Haaren - Figurentheater KOLK 17,16:00,Europäisches Hansemuseum,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
1,2024-10-10,Hafen­straße,20:00,Theater Lübeck – Kammerspiele,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
2,2024-10-10,Musizierstunde Posaune,17:00,Musikhochschule – Kammermusiksaal,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
3,2024-10-10,Kai & Funky von Ton Steine Scherben feat. Birte Volta,19:00,Rider's Café,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
4,2024-10-10,1000 Takte Schlager - Reise durch die Zeit,19:30,Musik- und Kongresshalle – MuK,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
5,2024-10-10,Musik für Oboe,20:00,Musikhochschule – Kammermusiksaal,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
6,2024-10-10,Nico Rivers,20:00,Tonfink,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
7,2024-10-10,Touch (OmU),20:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
8,2024-10-10,Wildes Land – Die Rückkehr der Natur,18:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
9,2024-10-10,Unsere Wakenitz,09:00,Museum für Natur und Umwelt,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
10,2024-10-10,Buddenbrooks im Behnhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
11,2024-10-10,Grass TANZBAR,10:00,Günter Grass-Haus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
12,2024-10-10,Heather Phillipson: Extra Time,10:00,Kunsthalle St. Annen,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
13,2024-10-10,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,10:00,St. Annen-Museum,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
14,2024-10-10,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
