,Title,Location,Categories,Date,Time
300,Die Howaldtswerke – Neubeginn nach 1945,Industriemuseum Howaldtsche Metallgießerei,"['Ausstellung', 'Kultursommer']",13.10.2024,10:00 - 18:00 Uhr
301,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",13.10.2024,10:00 - 18:00 Uhr
302,Hundetag im Tierpark,Tierpark Neumünster,"['Führung/Besichtigung', 'Sport/Freizeit', 'Kultur']",13.10.2024,10:00 - 17:00 Uhr
303,Mit dem Stadtförster durch das Vieburger Gehölz,Vieburger Gehölz,['Führung/Besichtigung'],13.10.2024,11:00 Uhr
304,Prima Kunst: Johanna Blank – The Cabin,Stadtgalerie Kiel,['Ausstellung'],13.10.2024,11:00 - 17:00 Uhr
305,Kiel (re)connecting.earth. Beyond Water,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",13.10.2024,11:00 - 17:00 Uhr
306,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",13.10.2024,11:00 Uhr
307,Land der Legenden - Die Norddeutschen Realisten in der Bretagne,Künstlermuseum Heikendorf,"['Ausstellung', 'Kultur']",13.10.2024,11:00 - 17:00 Uhr
308,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",13.10.2024,11:00 - 18:00 Uhr
309,Industriebau mit Geschichte - Führung durch die Metallgießerei,Industriemuseum Howaldtsche Metallgießerei,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",13.10.2024,11:15 - 12:15 Uhr
310,Sonntagsführung durch den Flandernbunker,Flandernbunker,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",13.10.2024,11:30 - 13:00 Uhr
311,"Sonntagsführung zur Ausstellung ""Kaufrausch, Konsum und Warenwelten der 1980er Jahre""",Stadtmuseum Warleberger Hof,"['Führung/Besichtigung', 'Kultursommer']",13.10.2024,11:30 - 12:30 Uhr
312,Mitspieltheater in der TraumGmbH,Traum GmbH,"['Kinderprogramm', 'Kultur', 'Kultursommer', 'Theater']",13.10.2024,12:00 - 13:00 Uhr
313,Führung durch unsere Sonderausstellung Land der Legenden. Die Norddeutschen Realisten in der Bretagne,Künstlermuseum Heikendorf,"['Ausstellung', 'Führung/Besichtigung']",13.10.2024,12:00 - 13:00 Uhr
