,Category,Title,Date,Time,Location,City
2184,Workshops & Kurse,PORTRäTMALEREI IM FREIEN-  WOCHENENDWORKSHOP,12.10.2024,12:00 - 15:00 Uhr,Arbeitsgemeinschaft Kulturtreibhaus,Lübeck
2185,"Familie / Kinder, Führung, Outdoor, Schiffstour",SEETIERFANGFAHRT ZU DEN SEEHUNDSBäNKEN AB HAFEN HöRNUM,12.10.2024,12:00 - 13:30 Uhr,"Hafenstraße, 25997 Hörnum",Hörnum / Sylt
2186,sonstige Seminare & Kurse,SEGEBERGER BüRGERHAUS,12.10.2024,12:00 - 17:00 Uhr,Museum Segeberger Bürgerhaus,Bad Segeberg
2187,Sonstiges,"GROẞE HAFENRUNDFAHRT UND NATURSCHUTZGEBIETE | 12.30, 14.00 UND 15.30 UHR",12.10.2024,12:30 - 16:30 Uhr,ab / an: Überseebrücke 2,Travemünde
2188,"Nationalpark & Wattenmeer, Wattwanderung, Wattwanderungen",WATTWANDERUNG ZUR HALLIG NORDSTRANDISCHMOOR,12.10.2024,12:30 - 17:30 Uhr,"Integrierte Station Westküste ""Lüttmoorsiel"", Beltringharder Koog 4, 25821 Reußenköge",Reußenköge
2189,"Bernsteinschleifen / Basteln, Familie & Kinder, Familie / Kinder, Führung, Indoor, Malen & Basteln, Nationalpark & Wattenmeer, Naturkunde, Vortrag",BERNSTEINSCHLEIFEN FüR KLEIN UND GROẞ AUF LANGENEẞ,12.10.2024,13:00 - 15:00 Uhr,"Nationalpark-Seminarhaus Langeneß, Peterswarf 2, 25863 Hallig Langeneß",Hallig Langeneß
2190,Sonstiges,BESICHTIGUNG ÄLTESTER LEUCHTTURM DEUTSCHLANDS,12.10.2024,13:00 - 16:00 Uhr,Alter Leuchtturm Travemünde,Travemünde
2191,N/A,"DER VORWERKER FRIEDHOF: SEINE GESCHICHTE, ENTWICKLUNG UND ZUKUNFT",12.10.2024,13:00 - 14:30 Uhr,Industriemuseum Geschichtswerkstatt Herrenwyk,Lübeck
2192,N/A,N/A,N/A,N/A,N/A,N/A
2193,sonstige Ausflüge & Führungen,"DER VORWERKER FRIEDHOF: SEINE GESCHICHTE, ENTWICKLUNG UND ZUKUNFT",12.10.2024,13:00 Uhr,Völkerkundesammlung,Lübeck
2194,"Führung, Rundfahrten, Rundfahrten",INSELRUNDFöHRFAHRTEN MIT DEM BUS – DE ORIGINALE FöHRTOUR,12.10.2024,13:00 Uhr,"Busfahrten Korf, Reedereigebäude, Hafen",Wyk
2195,"Führung, Rundfahrten, Rundfahrten",INSELRUNDFöHRFAHRTEN MIT TRECKER UND PLANWAGEN: DE URIGE FöHRTOUR,12.10.2024,13:00 Uhr,"Busfahrten Korf, Reedereigebäude, Hafen",Wyk
2196,sonstige Seminare & Kurse,JIB DOOR,12.10.2024,13:00 - 17:00 Uhr,Palais für aktuelle Kunst,Glückstadt
2197,Rundfahrten,MS HANSE | TRAVEFAHRT VON LüBECK NACH TRAVEMüNDE,12.10.2024,13:00 Uhr,Anleger Hansekai,Lübeck
2198,Sonstiges,MS HANSE | TRAVEFAHRT VON LüBECK NACH TRAVEMüNDE,12.10.2024,13:00 - 14:30 Uhr,"Hansekai | Anleger MS Hanse, MS Hansa, MS Hermes",Lübeck
2199,Ausstellungen,ÖFFENTLICHE FüHRUNG - PFAD DER MEISTERWERKE,12.10.2024,13:00 - 14:00 Uhr,St. Annen-Museum,Lübeck
2200,sonstige Ausflüge & Führungen,ÖFFENTLICHE FüHRUNG - PFAD DER MEISTERWERKE,12.10.2024,13:00 Uhr,St. Annen-Museum,Lübeck
2201,sonstige Gesundheit,PSYCHOLOGISCHE BERATUNG AM STRAND UND IM WALD,12.10.2024,13:00 - 19:00 Uhr,"Seebrücke, Waldparkplatz",Kellenhusen
2202,"Familie / Kinder, Führung, Outdoor, Wattwanderung",WATTWANDERUNG AUF SYLT - ABENTEUER WATTENMEER IN HöRNUM,12.10.2024,13:00 - 15:30 Uhr,"Am Wendekreis (Osterende 10), 25997 Hörnum",Hörnum
2203,N/A,N/A,N/A,N/A,N/A,N/A
2204,"Familie / Kinder, Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, Wattwanderung, Wattwanderungen",FüHRUNG: KLEINE WATTWANDERUNG AUF FöHR,12.10.2024,13:30 - 15:30 Uhr,"vor der Einfahrt zum Nationalpark-Haus Föhr, Strandstraße 60, 25938 Wyk",Wyk auf Föhr
2205,"Führung, Rundfahrten, Rundfahrten",INSELRUNDFAHRT MIT DEM FRIESENEXPRESS FöHR,12.10.2024,13:30 Uhr,"Fähranleger 3, Hafen",Wyk
2206,"FÖHRgreen Erlebnis, Natur, Wattwanderung",KLEINE WATTWANDERUNG AUF FöHR,12.10.2024,13:30 Uhr,"Ende Strandstraße, beim öffentlichen Toilettenhaus",Wyk
2207,sonstige Ausflüge & Führungen,STADTFüHRUNG: GäNGE UND HöFE IM HANDWERKERVIERTEL,12.10.2024,13:30 Uhr,Treffpunkt: Buddenbrook Shop,Lübeck
2208,"Familie / Kinder, Führung, Outdoor, Wattwanderung",WATTWANDERUNG FüR KINDER IN HöRNUM,12.10.2024,13:30 - 15:00 Uhr,"Am Wendekreis (Osterende 10), 25997 Hörnum",Hörnum
2209,"Familie & Kinder, Familie / Kinder, Führung, Nationalpark & Wattenmeer, Outdoor, Wattwanderung, Wattwanderungen",WATTWANDERUNG IN BüSUM: WELTNATURERBE WATTENMEER,12.10.2024,13:30 - 15:30 Uhr,"Deich vor dem Büsumer Leuchtturm, 25761 Büsum",Büsum
2210,sonstige Ausflüge & Führungen,WATTWANDERUNG IN BüSUM: WELTNATURERBE WATTENMEER,12.10.2024,13:30 Uhr,Treffpunkt: Leuchtturm Büsum,Büsum
2211,"Ausflüge, Natur",SEETIERFANG & FAHRT IM LEBENSRAUM DER SEEHUNDE,12.10.2024,13:40 Uhr,"""MS Adler Rüm Hart"", Anleger Hafen",Wyk
2212,sonstige Seminare & Kurse,"""GESCHICHTE DER HERINGSLOGGEREI""",12.10.2024,14:00 - 17:00 Uhr,Detlefsen-Museum,Glückstadt
2213,sonstige Konzerte,AUSSTELLUNG,12.10.2024,14:00 Uhr,Villa Brahms,Lübeck
2214,N/A,N/A,N/A,N/A,N/A,N/A
2215,Musikveranstaltungen,AUSSTELLUNG,12.10.2024,14:00 - 18:00 Uhr,Villa Brahms,Lübeck
2216,Sonstiges,AUTISMUS - INFOS FüR BETROFFENE UND IHR UMFELD,12.10.2024,14:00 - 17:00 Uhr,"VHS Lübeck, Falkenplatz",Lübeck
2217,sonstige Seminare & Kurse,BERNSTEINSCHLEIFEN,12.10.2024,14:00 Uhr,Strandhaus,Grömitz
2218,sonstige Seminare & Kurse,BEWEGTE FARBEN - ALLES ANDERE ALS GRAU,12.10.2024,14:00 - 18:00 Uhr,Freya Frahm Haus,Laboe
2219,"Sport, Spiel und Wellness",BOWLING – DART – KICKER – FRISCHE PIZZA,12.10.2024,14:00 Uhr,Bi Jaine Bowlingcenter,Borgsum
2220,Mode & Schmuck,CHARAKTERPERLE SCHMUCK-WORKSHOP: FüR DIE FRAU MIT KLASSE,12.10.2024,14:00 - 16:00 Uhr,charakterperle,Haffkrug
2221,N/A,DAS LANDSCHAFTSSCHUTZGEBIET KüSTENLANDSCHAFT PRIWALL | FüHRUNG,12.10.2024,14:00 - 16:00 Uhr,Treffpunkt: Naturwerkstatt Priwall,Travemünde
