,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
25,Hansen und die Sache mit dem Pinguin,2024-12-10,2024-12-10,16:00,17:00,Niederdeutsche Bühne,Kiel,https://kiel-sailing-city.de/e/hansen-und-die-sache-mit-dem-pinguin/o-42a50c34-a201-4d70-a2d6-baa0143c38dc,"['Kinderprogramm', 'Kultur', 'Theater']",False
26,EisDISCO powered by Casino Kiel,2024-12-10,2024-12-10,17:00,20:00,Germaniahafen,Kiel,https://kiel-sailing-city.de/e/eisdisco-powered-by-casino-kiel-1/o-1adb551f-5a46-488c-a45b-5cdb240c59f0,"['Kultur', 'Sport/Freizeit']",False
27,"""Home for Christmas"" - Das Weihnachtskonzert Altenholz",2024-12-10,2024-12-10,18:30,21:00,Eivind-Berggrav-Zentrum,Kiel,https://kiel-sailing-city.de/e/home-for-christmas-das-weihnachtskonzert-altenholz/o-d2bddc06-3053-4605-8cc7-7a9eb9ef91c3,"['Konzert', 'Kultur']",True
28,The Scottish Music Parade,2024-12-10,2024-12-10,19:00,21:30,Wunderino Arena,Kiel,https://kiel-sailing-city.de/e/the-scottish-music-parade/o-62b1b627-764c-481d-885b-aaa5a897d1d2,"['Konzert', 'Kultur']",True
29,Harald Martenstein: „Es wird Nacht Senoritá“,2024-12-10,2024-12-10,19:00,21:00,KulturForum in der Stadtgalerie,Kiel,https://kiel-sailing-city.de/e/harald-martenstein-es-wird-nacht-senorita/o-a16cff04-6a70-40a3-ab27-62a439a8a3a3,['Kultur'],False
30,"The Culturitical working group of the Cultural and Media Studies Department of the English Department at Kiel University presents: „We're doomed. Or are we?""",2024-12-10,2024-12-10,19:00,21:00,Kommunikationszentrum Hansastrasse 48 e. V.,Kiel,https://kiel-sailing-city.de/e/the-culturitical-working-group-of-the-cultural-and-media-studies-department-of-the-english-department-at-kiel-university-presents-were-doomed-or-are-we/o-d53221c1-6ed3-4603-bf55-72a1c09b11d8,"['Kultur', 'Wissenschaft']",False
31,Karaoke,2024-12-10,2024-12-10,21:00,01:00,Pogue Mahone Irish Pub,Kiel,https://kiel-sailing-city.de/e/karaoke/o-5acb1ca9-536c-42e2-a3b8-15a94a3e7520,"['Kultur', 'Nachtleben', 'Kultursommer']",True
32,Der Mensch dahinter,2024-12-11,2024-12-11,07:00,17:00,Rathaus Kiel,Kiel,https://kiel-sailing-city.de/e/der-mensch-dahinter/o-f220f533-edfa-4aae-a4a1-48bcf3eaddd3,"['Ausstellung', 'Kultur']",False
33,Mit Herodot auf Reisen,2024-12-11,2024-12-11,08:00,21:00,Universitätsbibliothek Kiel,Kiel,https://kiel-sailing-city.de/e/mit-herodot-auf-reisen/o-024bea70-15ac-4ce8-b9a0-0c161f66a6f2,"['Ausstellung', 'Kultur', 'Wissenschaft']",False
34,Weihnachtsmarkt im CITTI-Park,2024-12-11,2024-12-11,08:00,19:00,CITTI-PARK,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-im-citti-park/o-e92548cd-a2c7-4dc6-b86e-781473e6d038,"['Gastronomie', 'Kinderprogramm', 'Konzert', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit', 'Kultur']",True
35,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,2024-12-11,2024-12-11,09:00,17:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/kaufrausch-konsum-und-warenwelten-der-1980er-jahre/o-14b429b7-a61a-4cbb-a79f-4bdae87ca86b,"['Ausstellung', 'Kultur', 'Kultursommer']",False
36,Weihnachten im Sophienhof,2024-12-11,2024-12-11,09:00,19:00,Sophienhof,Kiel,https://kiel-sailing-city.de/e/weihnachten-im-sophienhof/o-4451e2f9-182e-4165-bb76-b705e9ed1561,"['Kinderprogramm', 'Shopping', 'Kultur', 'Märkte']",False
37,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",2024-12-11,2024-12-11,09:00,17:00,Schifffahrtsmuseum,Kiel,https://kiel-sailing-city.de/e/marine-werften-segelsport-die-geschichte-der-hafenstadt-kiel/o-684df3f2-3dbf-44cf-88cf-acf61093041a,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",False
38,HIER UND JETZT – gemeinsam für Demokratie,2024-12-11,2024-12-11,09:00,17:00,vhs-Kunstschule,Kiel,https://kiel-sailing-city.de/e/hier-und-jetzt-gemeinsam-fuer-demokratie-1/o-87d2c33e-c27f-4c8e-aa79-734ec1757cf1,"['Ausstellung', 'Kultur']",False
39,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,2024-12-11,2024-12-11,09:00,17:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/der-gewoelbekeller-kostbarkeiten-aus-dem-alten-kiel-1/o-9d23d9ca-eb43-4e8f-adf4-13aecacf8e43,"['Ausstellung', 'Kultur', 'Kultursommer']",False
40,Wohltemperiert. Für klimagerechte Architektur!,2024-12-11,2024-12-11,09:00,15:00,Freilichtmuseum Molfsee,Kiel,https://kiel-sailing-city.de/e/wohltemperiert-fuer-klimagerechte-architektur/o-abca78ed-64da-4f63-8d9c-3afbb590b309,"['Ausstellung', 'Kultur']",False
41,"Ein Funke im System. Revision, Perturbation, Selbstdekonstruktion",2024-12-11,2024-12-11,09:00,16:00,Stadtgalerie Kiel,Kiel,https://kiel-sailing-city.de/e/ein-funke-im-system-revision-perturbation-selbstdekonstruktion/o-c7ffc52b-c6a0-4ec6-8bd2-568ec9ab0268,"['Ausstellung', 'Kultur']",False
42,Prima Kunst: Schirin Rafii - Kalte Füße,2024-12-11,2024-12-11,09:00,16:00,Stadtgalerie Kiel,Kiel,https://kiel-sailing-city.de/e/prima-kunst-schirin-rafii-kalte-fuesse/o-ebdbdae3-9a1a-4dcc-944e-6a353e948735,"['Ausstellung', 'Kultur']",False
43,Kiel festhalten. Stadtansichten von Gretel Riemann,2024-12-11,2024-12-11,09:00,17:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/kiel-festhalten-stadtansichten-von-gretel-riemann/o-f88eb2e3-9644-4625-b8b5-6aebebbfaa24,"['Ausstellung', 'Kultur']",False
44,Weihnachtsmarkt - Holstenplatz,2024-12-11,2024-12-11,10:00,19:00,Holstenplatz,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-holstenplatz/o-46bd5a73-cee9-419f-b388-21f068cfd473,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",False
45,Weihnachtsmarkt Rathausplatz,2024-12-11,2024-12-11,10:00,20:00,Rathausplatz,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-rathausplatz/o-51af941c-c7ae-47de-871b-8a19fc24f6cf,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",False
46,"Riesenrad am Bahnhof ""La Noria""",2024-12-11,2024-12-11,10:00,20:00,Kiel Hauptbahnhof,Kiel,https://kiel-sailing-city.de/e/riesenrad-am-bahnhof-la-noria/o-53acf006-7f5c-4290-a360-86d36f2600ac,"['Kultur', 'Sport/Freizeit']",False
47,Kunsthandwerk erleben (ABGESAGT),2024-12-11,2024-12-11,10:00,17:00,Pop-up Pavillon,Kiel,https://kiel-sailing-city.de/e/kunsthandwerk-erleben-abgesagt/o-65714881-6eb7-4212-a08c-b2169a657256,"['Ausstellung', 'Kultur']",False
48,Licht & Schatten,2024-12-11,2024-12-11,10:00,17:00,Pop-up Pavillon,Kiel,https://kiel-sailing-city.de/e/licht-schatten/o-f3cc1a35-1fae-4c32-9995-219c9b3ed322,"['Kultur', 'Ausstellung']",False
49,Weihnachtsmarkt - Asmus-Bremer-Platz,2024-12-11,2024-12-11,10:00,19:00,Asmus-Bremer-Platz,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-asmus-bremer-platz/o-f55afe39-3fe9-47af-bf77-b1c76a7411a0,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",False
