,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
113,Megamarsch 50/12 Ostsee 2025 - Schleswig-Holstein - Scharbeutz nach Grömitz anzeigen,2025-04-26,2025-04-26,07:30, ,Kurpark,"Scharbeutz, SN",https://www.eventbrite.com/e/megamarsch-5012-ostsee-2025-schleswig-holstein-scharbeutz-nach-gromitz-tickets-887714426747?aff=ebdssbdestsearch,sports-and-fitness,False
114,Spür den Beat! Die Präsentation 2024 anzeigen,2024-12-22,2024-12-22,14:00, ,Rübekamphalle,"Pinneberg, SH",https://www.eventbrite.de/e/spur-den-beat-die-prasentation-2024-tickets-1030897591447?aff=ebdssbdestsearch,arts,False
115,Resonance Rave anzeigen,2024-12-21,2024-12-21,22:00, ,Am Kulturwerk,"Norderstedt, SH",https://www.eventbrite.de/e/resonance-rave-tickets-1047995702357?aff=ebdssbdestsearch,music,True
116,Silvester - Club Rotes Kliff - Celebrate the golden 45 Years - 1980 - 2025 anzeigen,2024-12-31,2024-12-31,22:00, ,Club Rotes Kliff,"Kampen Sylt, Schleswig Holstein",https://www.eventbrite.de/e/silvester-club-rotes-kliff-celebrate-the-golden-45-years-1980-2025-tickets-1045455584797?aff=ebdssbdestsearch,music,True
117,Abi Party Ben Briggs MPS x KKS anzeigen,2025-01-02,2025-01-02,22:00, ,Ben Briggs,"Kiel, SH",https://www.eventbrite.de/e/abi-party-ben-briggs-mps-x-kks-tickets-1107337790139?aff=ebdssbdestsearch,music,True
118,Silvester - Club Rotes Kliff - Celebrate the golden 45 Years - 1980 - 2025 anzeigen,2024-12-31,2024-12-31,22:00, ,Club Rotes Kliff,"Kampen Sylt, Schleswig Holstein",https://www.eventbrite.de/e/silvester-club-rotes-kliff-celebrate-the-golden-45-years-1980-2025-tickets-1045455584797?aff=ebdssbdestsearch,music,True
119,Megamarsch 50/12 Ostsee 2025 - Schleswig-Holstein - Grömitz nach Scharbeutz anzeigen,2025-04-26,2025-04-26,07:30, ,Wiese an der Promenade,"Grömitz, SN",https://www.eventbrite.com/e/megamarsch-5012-ostsee-2025-schleswig-holstein-gromitz-nach-scharbeutz-tickets-887484619387?aff=ebdssbdestsearch,sports-and-fitness,False
120,Megamarsch 50/12 Ostsee 2025 - Schleswig-Holstein - Scharbeutz nach Grömitz anzeigen,2025-04-26,2025-04-26,07:30, ,Kurpark,"Scharbeutz, SN",https://www.eventbrite.com/e/megamarsch-5012-ostsee-2025-schleswig-holstein-scharbeutz-nach-gromitz-tickets-887714426747?aff=ebdssbdestsearch,sports-and-fitness,False
121,Spür den Beat! Die Präsentation 2024 anzeigen,2024-12-22,2024-12-22,14:00, ,Rübekamphalle,"Pinneberg, SH",https://www.eventbrite.de/e/spur-den-beat-die-prasentation-2024-tickets-1030897591447?aff=ebdssbdestsearch,arts,False
122,Resonance Rave anzeigen,2024-12-21,2024-12-21,22:00, ,Am Kulturwerk,"Norderstedt, SH",https://www.eventbrite.de/e/resonance-rave-tickets-1047995702357?aff=ebdssbdestsearch,music,True
123,Silvester - Club Rotes Kliff - Celebrate the golden 45 Years - 1980 - 2025 anzeigen,2024-12-31,2024-12-31,22:00, ,Club Rotes Kliff,"Kampen Sylt, Schleswig Holstein",https://www.eventbrite.de/e/silvester-club-rotes-kliff-celebrate-the-golden-45-years-1980-2025-tickets-1045455584797?aff=ebdssbdestsearch,music,True
